date_maj,score_final,score_surete,score_commercial,action_recommandee,fenetre_action,niveau_opportunite_amarante,titre,acheteur,investisseur_pays,pays_execution,type_document,categorie_es,annee_fiscale,type_client,type_mobilite,profil_personnes_exposees,duree_estimee,accessibilite_commerciale,securite_existante_detectee,profils_acteurs_probables,cible_commerciale_reelle,justification,confiance,modele,raffine,divergence,statut,valeur_estimee,publication_number,lien_avis,statut_suivi,date_detection
2026-07-27,7.2,8.0,6.5,contacter,indetermine,fort,Crei South Sudan 0,Two Thirty-three Holdings,Virgin Islands (British),South Sudan,propose (SPG),B,2027,entreprise_privee,terrain_isole,expert_international,longue_ou_residente,moyenne,False,"directeur de projet expatrié basé en pays hôte, superviseurs techniques internationaux en rotation, responsable HSE international, cadres financiers et administratifs expatriés en capitale ou sur site, représentant du holding en déplacement régulier depuis la région ou l'Europe","Investisseur etranger (Guarantee Holder : Two Thirty-three Holdings) engageant du capital en South Sudan. Cible directe : cet investisseur et l'entreprise projet, qui deploieront cadres et actifs sur zone a risque.","Le Soudan du Sud figure parmi les environnements sécuritaires les plus dégradés au monde, avec risques de conflits armés, criminalité, enlèvements et instabilité politique chronique. Tout personnel expatrié déployé sur site ou en déplacement dans le pays nécessite une protection rapprochée, des véhicules sécurisés et une gestion opérationnelle des mouvements terrain.",0.78,claude-sonnet-4-6,True,False,Proposed,inconnu,MIGA:crei-south-sudan,https://www.miga.org/project/crei-south-sudan-0,nouveau,2026-07-27
2026-07-27,6.7,5.5,8.0,contacter,indetermine,moyen,Sidi Bouzid Ii Solar Pv 1,AEOLUS SAS,France,Tunisia,emis (Project Brief),B,2026,entreprise_privee,multi_sites,expert_international,longue_ou_residente,facile,False,"directeur de projet expatrié basé en Tunisie, ingénieurs spécialisés en énergie éolienne en déplacement régulier sur sites, superviseurs techniques de construction et d'installation de turbines, responsables HSE et conformité E&S en mission terrain, cadres financiers et juridiques de la joint venture en déplacement entre Tunis et sites","Investisseur etranger (Guarantee Holder : AEOLUS SAS) engageant du capital en Tunisia. Cible directe : cet investisseur et l'entreprise projet, qui deploieront cadres et actifs sur zone a risque.","Un projet éolien en Tunisie implique des équipes expatriées françaises et internationales présentes sur des sites de construction potentiellement éloignés des centres urbains, avec des rotations régulières entre Tunis et les chantiers. La durée longue du déploiement et la nature multi-sites du projet créent un besoin structuré de sécurisation des déplacements et d'escorte pour le personnel de direction et les experts techniques.",0.78,claude-sonnet-4-6,True,False,Active,€13.05 million,MIGA:sidi-bouzid-ii-solar-pv,https://www.miga.org/project/sidi-bouzid-ii-solar-pv-1,nouveau,2026-07-27
2026-07-27,6.5,6.5,6.5,contacter,indetermine,fort,Gccia Transmission Line 0,GCC International Authority,Saudi Arabia,Iraq,propose (SPG),A,2027,entreprise_privee,multi_sites,expert_international,longue_ou_residente,moyenne,False,"cadres dirigeants investisseur du Golfe en déplacement en Irak, superviseurs techniques expatriés sur site, experts en conformité environnementale et sociale (catégorie E&S A), responsables de projet résidents en Irak, consultants internationaux en audit et suivi de garantie MIGA","Investisseur etranger (Guarantee Holder : GCC International Authority) engageant du capital en Iraq. Cible directe : cet investisseur et l'entreprise projet, qui deploieront cadres et actifs sur zone a risque.","Un investissement de catégorie E&S A en Irak implique des actifs lourds et une présence physique prolongée de personnel étranger sur le terrain dans un environnement à risque sécuritaire élevé. Les cadres et techniciens du Guarantee Holder saoudien effectuant des déplacements réguliers entre la capitale et les sites opérationnels constituent un besoin direct en escorte, protection rapprochée et véhicules sécurisés.",0.82,claude-sonnet-4-6,True,False,Proposed,inconnu,MIGA:gccia-transmission-line,https://www.miga.org/project/gccia-transmission-line-0,nouveau,2026-07-27
2026-07-27,6.5,6.4,6.5,contacter,indetermine,moyen,Sus Samarkand Waste Energy Project,"Shanghai SUS Environment Co., Ltd",China,Uzbekistan,propose (SPG),A,2027,entreprise_privee,chantier,expert_international,longue_ou_residente,moyenne,False,"cadres dirigeants d'un groupe industriel chinois en charge du suivi d'investissement à l'étranger, ingénieurs et techniciens spécialisés en gestion des déchets ou traitement environnemental déployés sur site, superviseurs de chantier expatriés assurant la mise en oeuvre opérationnelle, responsables HSE et conformité E&S de catégorie A présents en phase de construction et d'exploitation","Investisseur etranger (Guarantee Holder : Shanghai SUS Environment Co., Ltd) engageant du capital en Uzbekistan. Cible directe : cet investisseur et l'entreprise projet, qui deploieront cadres et actifs sur zone a risque.","Un investissement industriel de catégorie E&S A en Ouzbékistan implique une présence physique prolongée de cadres et techniciens étrangers sur site, exposés à des risques liés à l'environnement sécuritaire régional et à l'isolement opérationnel. Le profil d'investisseur privé chinois déployant des équipes expatriées dans un pays d'Asie centrale constitue un besoin concret d'escorte, de protection rapprochée et de sécurisation des déplacements terrain.",0.72,claude-sonnet-4-6,True,False,Proposed,inconnu,MIGA:sus-samarkand-waste-energy-project,https://www.miga.org/project/sus-samarkand-waste-energy-project,nouveau,2026-07-27
2026-07-27,6.5,6.4,6.5,contacter,indetermine,moyen,Suez Wind Energy 1,ACWA Power Company,Saudi Arabia,"Egypt, Arab Republic of",emis (Project Brief),A,2027,entreprise_privee,chantier,expert_international,longue_ou_residente,moyenne,False,"directeur de projet énergie renouvelable expatrié, ingénieurs supervision turbines éoliens offshore/onshore, responsable HSE international, cadres financiers et contractuels en déplacement régulier, techniciens spécialisés en génie civil et électromécanique","Investisseur etranger (Guarantee Holder : ACWA Power Company) engageant du capital en Egypt, Arab Republic of. Cible directe : cet investisseur et l'entreprise projet, qui deploieront cadres et actifs sur zone a risque.","Un projet éolien de grande envergure classé catégorie E&S A implique une présence physique prolongée de cadres et techniciens étrangers sur un chantier en zone de Suez, nécessitant des dispositifs de protection rapprochée, d'escorte et de sécurisation des déplacements entre Le Caire et le site. L'investisseur saoudien privé est commercialement accessible et la sécurité existante sur site reste inconnue, ouvrant une opportunité de positionnement concurrentiel.",0.72,claude-sonnet-4-6,True,False,Active,inconnu,MIGA:suez-wind-energy,https://www.miga.org/project/suez-wind-energy-1,nouveau,2026-07-27
2026-07-27,6.5,6.4,6.5,contacter,indetermine,moyen,Globeleq Mozambique Solar Projects Central Electrica De Tetereane Sa 1,Globeleq Africa Limited,United Kingdom,Mozambique,emis (Project Brief),B,2026,entreprise_privee,chantier,expert_international,longue_ou_residente,moyenne,False,"directeur de projet expatrié secteur énergie, ingénieurs et techniciens spécialisés en production électrique, superviseurs de chantier internationaux, responsable HSE expatrié, cadres financiers et administratifs en poste local","Investisseur etranger (Guarantee Holder : Globeleq Africa Limited) engageant du capital en Mozambique. Cible directe : cet investisseur et l'entreprise projet, qui deploieront cadres et actifs sur zone a risque.","Un projet de centrale électrique au Mozambique implique une présence physique durable de personnel expatrié sur site dans un pays exposé à une instabilité sécuritaire persistante, notamment dans les provinces du nord. Les déplacements entre la capitale et le site de production, ainsi que la supervision long terme, génèrent un besoin concret de protection rapprochée, de chauffeurs sécurité et de sécurisation des déplacements terrain.",0.72,claude-sonnet-4-6,True,False,Active,inconnu,MIGA:globeleq-mozambique-solar-projects-central-electrica-de-tetereane-sa,https://www.miga.org/project/globeleq-mozambique-solar-projects-central-electrica-de-tetereane-sa-1,nouveau,2026-07-27
2026-07-27,6.0,5.5,6.5,contacter,indetermine,moyen,Almaty Railway Bypass Project,Standard Chartered (Hong Kong) Limited,"Hong Kong SAR, China",Kazakhstan,inconnu,A,2026,entreprise_privee,multi_sites,expert_international,longue_ou_residente,moyenne,False,"directeur de projet infrastructure expatrié, ingénieurs spécialisés en logistique et transport international, superviseurs techniques de chantier, responsables conformité et due diligence E&S, cadres financiers en mission de suivi d'investissement","Investisseur etranger (Guarantee Holder : Standard Chartered (Hong Kong) Limited) engageant du capital en Kazakhstan. Cible directe : cet investisseur et l'entreprise projet, qui deploieront cadres et actifs sur zone a risque.","Un projet d'infrastructure logistique et de transport de catégorie E&S A au Kazakhstan implique une présence physique prolongée de cadres et techniciens étrangers sur des sites distribués à travers un territoire vaste, avec des déplacements inter-sites dans un environnement où la sécurité des expatriés n'est pas garantie. Le profil de l'investisseur étranger et la nature des actifs créent un besoin réel d'escorte, de chauffeurs sécurité et de sécurisation des déplacements terrain.",0.62,claude-sonnet-4-6,True,False,Active,inconnu,MIGA:almaty-railway-bypass-project,https://www.miga.org/project/almaty-railway-bypass-project-1,nouveau,2026-07-27
2026-07-27,6.0,5.5,6.5,contacter,indetermine,moyen,Sucafina Coffee Rwanda 1,Sucafina Holding S.A.,Luxembourg,Rwanda,emis (Project Brief),B,2026,entreprise_privee,multi_sites,expert_international,longue_ou_residente,moyenne,False,"directeur de filiale expatrié basé dans la capitale régionale, responsable qualité et traçabilité café déployé sur sites de collecte, superviseur agronomique sur domaines caféicoles, responsable logistique export en transit vers ports régionaux, cadre financier groupe en mission de contrôle périodique","Investisseur etranger (Guarantee Holder : Sucafina Holding S.A.) engageant du capital en Rwanda. Cible directe : cet investisseur et l'entreprise projet, qui deploieront cadres et actifs sur zone a risque.","La présence simultanée de deux entités opérationnelles agro-industrielles au Rwanda implique des déplacements réguliers de cadres expatriés entre Kigali et des sites de collecte ou domaines ruraux, avec des flux logistiques sensibles. Le Rwanda est relativement stable mais la proximité de zones de tension régionales et la nature des actifs physiques justifient un besoin de sécurisation des déplacements terrain et d'escorte ponctuelle.",0.72,claude-sonnet-4-6,True,False,Active,inconnu,MIGA:sucafina-coffee-rwanda,https://www.miga.org/project/sucafina-coffee-rwanda-1,nouveau,2026-07-27
2026-07-27,5.9,5.3,6.5,surveiller,indetermine,fort,Amea Power Portfolio 1,AMEA Power Ltd.,Cayman Islands,Multiple Countries,inconnu,A,2026,entreprise_privee,multi_sites,expert_international,longue_ou_residente,moyenne,False,"developpeur de projets energetiques internationaux, directeurs de projets expatries, ingenieurs et techniciens specialises en energies renouvelables, responsables HSE internationaux, superviseurs de chantier etrangers, cadres financiers et juridiques en mission terrain","Investisseur etranger (Guarantee Holder : AMEA Power Ltd.) engageant du capital en Multiple Countries. Cible directe : cet investisseur et l'entreprise projet, qui deploieront cadres et actifs sur zone a risque.","Un portefeuille de garanties atteignant 1,48 milliard USD couvrant plusieurs pays hotes classifies categorie E&S A implique des chantiers energetiques de grande envergure avec presence prolongee de personnel expatrie sur des sites potentiellement isoles ou instables. La dimension multi-pays et la nature industrielle des actifs genere un besoin structurel de securisation des deplacements, d'escorte et de protection rapprochee pour les equipes internationales deployees.",0.82,claude-sonnet-4-6,True,False,Active,inconnu,MIGA:amea-power-portfolio,https://www.miga.org/project/amea-power-portfolio-1,nouveau,2026-07-27
2026-07-27,5.9,5.3,6.5,surveiller,indetermine,moyen,Transgaz Gas Transmission Program 0,Financial Institutions to be identified,Countries yet to be identified,Romania,propose (SPG),A,2026,entreprise_privee,multi_sites,expert_international,longue_ou_residente,moyenne,False,"investisseurs financiers institutionnels etrangers en visite de due diligence terrain, experts techniques en infrastructure gaziere et pipelines, superviseurs HSE et auditeurs E&S mandates par la MIGA, cadres de projet expatries en mission de suivi, consultants en conformite environnementale et sociale","Investisseur etranger (Guarantee Holder : Financial Institutions to be identified) engageant du capital en Romania. Cible directe : cet investisseur et l'entreprise projet, qui deploieront cadres et actifs sur zone a risque.","Le projet Transgaz implique une infrastructure de transport de gaz a echelle nationale en Roumanie, classee categorie E&S A, ce qui suppose des missions terrain recurrentes d'experts internationaux pour audits, supervision et due diligence sur des sites potentiellement disperses. La presence de personnel etranger sur des infrastructures energetiques critiques en contexte de tension geopolitique regionale (proximite Ukraine) genere un besoin reel de securisation des deplacements et d'escorte.",0.62,claude-sonnet-4-6,True,True,Proposed,inconnu,MIGA:transgaz-gas-transmission-program,https://www.miga.org/project/transgaz-gas-transmission-program-0,nouveau,2026-07-27
